airline,year,revenue,total_debt,cash,total_assets,equity,ebitda,ebit,net_income,interest_expense,load_factor,casm,rasm,asm_billions,fuel_cost,went_bankrupt,bankrupt_year
PanAm,1987,3200,1890,210,4100,420,312,-89,34,98,68.2,7.12,6.89,45.1,890,1,1991
PanAm,1988,3450,2100,198,4200,380,289,-134,67,112,69.1,7.34,7.02,46.3,980,1,1991
PanAm,1989,3210,2450,145,4050,298,-89,-312,87,134,62.1,7.89,6.94,44.2,1100,1,1991
PanAm,1990,2890,2780,98,3890,178,-234,-521,67,156,58.3,8.12,6.71,42.1,1234,1,1991
Eastern,1987,4200,2100,345,5200,678,456,123,34,87,72.1,6.89,7.21,58.2,1120,1,1991
Eastern,1988,4100,2450,289,5100,534,312,45,45,98,71.2,7.12,7.08,57.1,1200,1,1991
Eastern,1989,3800,2890,178,4900,312,-123,-234,67,145,65.3,7.56,6.89,54.2,1345,1,1991
Eastern,1990,3200,3100,89,4600,98,-456,-678,56,178,58.9,8.12,6.71,49.1,1450,1,1991
USAirways,2000,9100,3200,1234,12000,2100,1234,456,234,189,71.2,8.12,8.34,89.1,2100,1,2002
USAirways,2001,7800,4100,945,11500,1456,234,-678,67,234,63.4,8.56,7.89,82.3,1890,1,2002
United,2000,19900,5600,2340,24000,3400,2890,1234,567,312,73.4,8.23,8.56,134.2,4500,1,2002
United,2001,16100,7800,1890,23000,2100,456,-2100,123,456,65.1,8.78,7.98,128.9,3900,1,2002
Delta,2003,14800,8900,1234,21000,789,678,-765,145,678,72.3,9.12,8.89,124.1,4200,1,2005
Delta,2004,15300,10100,987,20500,345,234,-1234,123,789,74.1,9.45,9.12,126.3,5100,1,2005
Northwest,2003,9900,6700,890,13000,456,567,-456,89,567,72.8,8.98,8.76,87.2,2890,1,2005
Northwest,2004,10200,7900,678,12500,234,345,-678,67,678,73.9,9.23,8.98,88.9,3400,1,2005
American,2009,19900,14500,2890,24000,567,1234,-1456,234,1234,78.1,11.23,10.89,134.2,5600,1,2011
American,2010,22100,15800,2456,23500,345,1456,-1234,189,1345,79.2,11.45,11.12,136.1,6100,1,2011
Frontier,2007,1890,890,234,2100,456,189,67,34,56,76.2,8.23,8.12,18.9,534,1,2008
ATA,2007,1200,780,145,1500,234,98,-123,23,67,72.1,9.12,8.78,12.3,345,1,2008
MesaAir,2009,1456,890,145,1800,234,89,-234,23,78,68.9,9.45,8.89,14.2,345,1,2010
MesaAir,2010,1234,1100,89,1700,98,-89,-345,12,89,65.1,9.78,8.67,13.1,312,1,2010
Southwest,2018,21965,3340,3830,25470,6780,3245,2341,1789,89,83.2,8.12,8.45,163.1,5890,0,0
Southwest,2019,22428,3620,3920,26200,7120,3456,2567,2301,92,84.1,8.23,8.67,165.2,6100,0,0
Southwest,2020,9048,10180,14250,26500,2680,234,-3167,345,389,55.1,9.12,7.89,148.1,2100,0,0
Southwest,2021,15792,10010,12390,27100,3890,1234,-1235,267,398,72.3,8.89,8.45,159.2,3450,0,0
Southwest,2022,23814,8420,13280,28900,5780,3890,2789,2344,234,83.1,9.45,9.67,167.2,7890,0,0
Southwest,2023,26099,7890,14100,29800,6890,4234,3234,2779,198,84.2,9.12,9.89,169.1,8100,0,0
Alaska,2018,8264,1670,1780,9800,3450,1234,892,734,67,84.3,9.34,9.56,58.2,1890,0,0
Alaska,2019,8781,1890,1890,10200,3780,1345,978,819,72,85.1,9.12,9.78,59.1,2100,0,0
Alaska,2020,3566,2890,3670,10800,1890,45,-1271,89,201,60.2,9.56,8.12,52.1,890,0,0
Alaska,2021,6175,3100,3450,11200,2100,567,-430,98,234,75.1,9.34,8.89,56.2,1345,0,0
Alaska,2022,9694,2780,2680,11800,3450,1456,1056,880,89,83.2,9.78,9.89,60.1,2890,0,0
Alaska,2023,10422,2340,2890,12100,4120,1678,1278,1067,78,84.9,9.45,10.12,61.2,2780,0,0
JetBlue,2018,7658,1230,1340,8900,2890,978,623,356,56,83.9,9.78,9.89,56.1,1890,0,0
JetBlue,2019,8094,1450,1450,9200,3100,1056,712,378,62,84.7,9.56,9.98,57.2,2100,0,0
JetBlue,2020,2980,3100,3200,9800,1890,89,-1357,89,201,62.1,10.12,8.34,51.1,890,0,0
JetBlue,2021,5651,3456,2890,10100,2340,456,-432,76,234,76.3,10.34,9.12,54.2,1456,0,0
JetBlue,2022,9156,3120,2100,10600,2670,789,-357,98,312,83.1,11.23,10.67,57.1,2890,0,0
JetBlue,2023,9136,4560,1800,11200,1890,234,-302,123,456,80.2,11.78,10.89,56.2,2780,0,0
Hawaiian,2018,2827,890,456,3100,978,345,234,189,23,84.1,9.12,9.34,14.2,678,0,0
Hawaiian,2019,2833,1020,489,3200,1020,367,245,198,25,84.9,9.23,9.56,14.5,734,0,0
Hawaiian,2020,856,1780,1234,3100,456,45,-537,23,101,45.1,9.78,7.89,12.1,234,0,0
Hawaiian,2021,1341,1890,1100,3200,289,89,-342,18,134,65.2,9.56,8.45,13.1,312,0,0
Hawaiian,2022,2445,1760,890,3400,567,289,145,112,21,80.1,9.89,9.67,14.1,567,0,0
Hawaiian,2023,2785,1980,712,3600,489,312,167,134,24,82.3,9.78,9.89,14.6,612,0,0
Spirit,2018,3322,1456,1070,3521,1089,512,389,231,89,83.1,5.64,6.49,51.2,812,1,2024
Spirit,2019,3826,1678,1124,4012,1102,498,367,187,102,83.4,6.17,6.97,54.9,891,1,2024
Spirit,2020,1657,2891,947,4198,512,-312,-478,-428,98,55.3,5.91,4.59,36.1,389,1,2024
Spirit,2021,2159,3456,1187,4889,398,-187,-312,-472,121,73.2,5.48,4.93,43.8,621,1,2024
Spirit,2022,5046,3789,854,5231,289,-98,-234,-561,189,84.1,8.87,8.46,59.8,1789,1,2024
Spirit,2023,5182,4123,612,5098,187,-312,-467,-628,234,81.2,9.16,8.44,61.4,1678,1,2024
